21054214916,42000,0.1
21054203044,44000,0.1
21054203049,123000,0.3
21054203086,11477000,23.6
21054202670,28000,0.1
21054042902,56000,0.1
21054042911,125000,0.3
21054042929,120000,0.2
21054042940,640000,1.3
21054042606,41000,0.1
21053855637,40000,0.1
21053855820,42000,0.1
21053855818,126000,0.3
21053855881,11923000,24.5
21053829774,67000,0.1
21053829745,61000,0.1
21053829734,123000,0.3
21053829886,721000,1.5
21053829426,41000,0.1
21053701004,44000,0.1
21053701084,66000,0.1
21053701082,129000,0.3
21053701130,2299000,4.7
21053589291,11791000,24.2
21053589192,43000,0.1
21053589168,109000,0.2
21053588753,31000,0.1
21053544529,43000,0.1
21053544482,154000,0.3
21053544619,2210000,4.5
21053543907,31000,0.1
21053399132,3354000,6.9
21053399073,122000,0.3
21053398781,27000,0.1
21053399097,44000,0.1
21053278680,29000,0.1
21053234033,11864000,24.4
21053233925,43000,0.1
21053233906,29000,0.1
21053233960,125000,0.3
21053021472,11572000,23.8
21053021409,43000,0.1
21053021403,121000,0.2
21053020934,27000,0.1
21052119718,68000,0.1
21052119791,2294000,4.7
21052119639,114000,0.2
21052118870,42000,0.1
21052090543,11749000,24.2
21052090238,26000,0.1
21052090469,42000,0.1
21052090452,124000,0.3
21061781252,47000,0.1
21061781238,93000,0.2
21061780815,36000,0.1
21059973569,49000,0.1
21059973591,103000,0.2
21059973669,4363000,9.0
21059973128,14000,0.0
21058784685,24000,0.0
21058784686,52000,0.1
21058784688,104000,0.2
21058070013,47000,0.1
21058069971,102000,0.2
21058070071,3862000,7.9
21058069654,16000,0.0
21057417961,4074000,8.4
21057417883,49000,0.1
21057417901,99000,0.2
21057417466,18000,0.0
21056584516,46000,0.1
21056584511,98000,0.2
21056584568,3916000,8.0
21056583960,20000,0.0
21056534485,46000,0.1
21056534482,103000,0.2
21056534559,180000,0.4
21056534395,16000,0.0
21055216991,15000,0.0
21055217138,48000,0.1
21055217147,100000,0.2
21055217203,1553000,3.2
21054860391,46000,0.1
21054860385,99000,0.2
21054860434,11601000,23.8
21054860179,20000,0.0
21054776837,21000,0.0
21054216092,2146000,4.4
21054215750,24000,0.0
21054216033,76000,0.2
21054216037,105000,0.2
21053616460,4479000,9.2
21053616417,44000,0.1
21053616409,101000,0.2
21053616268,25000,0.1
21053092734,45000,0.1
21053092750,88000,0.2
21053092792,2261000,4.6
21053092501,16000,0.0
21053045247,88000,0.2
21053045292,1942000,4.0
21053045214,21000,0.0
21053045229,46000,0.1
21052767717,11561000,23.8
21052767661,47000,0.1
21052767653,103000,0.2
21052767358,18000,0.0
21051835855,49000,0.1
21051835862,105000,0.2
21051835934,3851000,7.9
21051835626,17000,0.0
date=2026-01-16
hours=10
total_job_hours=74.5
total_runner_hours=552
fulltime_runners=55
